"","X","KeySignatureConfidence","Tempo","TimeSignature","TimeSignatureConfidence","Title","Year","ArtistFamiliarity","Hotness","end_of_fade_in","key","Loudness","mode","mode_confidence","rank","hit"
"1",1,0.345,"146.913",1,0,"paint it black",1966,0.543393231433,"0.338575026457",0.346,"7",-11.027,0,0.59,21,1
"2",2,0.354,"71.999",3,0.639,"dreams",1994,0.213312371758,"0.382524686515",1.048,"4",-10.773,0,0.393,75,0
"3",3,0.148,"122.616",1,0,"do your thing",1969,0.447650638227,"0.334983998108",0.2,"7",-10.308,1,0.355,47,1
"4",4,0.803,"110.209",3,1,"revolution",1968,0.431884977946,"0.0",0.118,"2",-5.882,0,0.641,78,0
"5",5,0.42,"123.049",3,0.486,"carry on wayward son",1977,0.595094171928,"0.413924379264",0.148,"7",-16.406,1,0.563,58,0
"7",7,0.458,"76.096",1,0.283,"angel",2003,0.87253659867,"0.610731462904",0,"2",-5.763,1,0.642,69,0
"8",8,0.712,"132.0",4,0,"is this love",1988,0.402326592281,"0.264102514022",0,"7",-6.464,0,0.508,17,1
"9",9,0.519,"101.713",1,0,"little woman",1969,0.362800141681,"0.282286405633",0.415,"7",-14.663,1,0.5,41,1
"10",10,0.035,"185.021",4,0.64,"just dance",2009,0.536507500731,"0.405836410744",5.364,"1",-13.686,0,0.342,3,1
"11",11,0.645,"167.631",4,0,"revolution",1968,0.670994211125,"0.425661723945",0,"1",-4.057,0,0.63,78,0
"12",12,0.529,"109.902",4,1,"knowing me knowing you",1977,0.367823866223,"0.252231640083",0.665,"2",-13.555,1,0.682,97,0
"14",14,0.606,"111.892",4,1,"count on me",1996,0.453363110257,"0.36879789859",0,"9",-7.183,1,0.607,48,1
"15",15,0,"107.058",4,0.667,"desire",1988,0.353190853251,"0.226591353767",3.791,"2",-14.581,1,0,56,0
"16",16,0.878,"130.03",4,1,"sledgehammer",1986,0.504494994059,"0.301272194324",0,"4",-9.499,0,0.603,23,1
"17",17,0.073,"94.352",4,0.348,"honey",1997,0.415753561473,"0.367415290661",0.339,"7",-11.953,1,0.309,32,1
"18",18,0.879,"66.828",1,0,"try again",2000,0.741040432796,"0.496508118721",0.207,"7",-9.589,1,0.662,12,1
"19",19,0.452,"85.331",3,0,"everytime",2004,0.947327506635,"0.631289507585",2.926,"0",-3.738,0,0.522,83,0
"20",20,0.981,"101.013",4,0.611,"on and on",1977,0.697159734033,"0.512328858933",5.55,"5",-7.07,1,0.71,30,1
"21",21,0.89,"154.286",1,0,"everyday",1994,0.467955065842,"0.324597714466",0.316,"7",-7.594,1,0.923,86,0
"22",22,0.885,"129.699",4,0,"misled",1985,0.631708766173,"0.401506131494",0.647,"7",-8.203,1,0.993,69,0
"23",23,0.067,"100.002",4,0.589,"give it up",1984,0.530754709567,"0.390532039545",0,"0",-4.137,1,0.313,75,0
"24",24,0.764,"147.893",4,0.522,"numb",2004,0.0324934284705,"0.0",0.229,"7",-9.494,1,0.531,33,1
"26",26,0.365,"133.958",4,0.217,"rockstar",2007,0.669032891582,"0.462805840651",3.901,"7",-5.844,0,0.452,36,1
"28",28,0.833,"115.808",4,0,"freedom",1985,0.60542379576,"0.293749182543",0.311,"6",-6.227,1,0.663,76,0
"29",29,0.222,"129.996",3,0.735,"faith",1988,0.50488694762,"0.410731286419",0.2,"5",-8.674,0,0.279,1,1
"30",30,0.839,"134.07",4,0.281,"heaven",2004,0.613224251447,"0.454690154305",0,"11",-6.348,0,0.646,37,1
"31",31,0.494,"95.942",4,0.987,"love to love you baby",1976,0.766590709421,"0.51876584519",2.049,"8",-16.596,1,0.51,41,1
"32",32,0.776,"110.015",4,0.538,"never ever",1998,0.504836761914,"0.386725381445",0.202,"2",-6.39,1,0.617,42,1
"33",33,0.422,"131.007",3,0.467,"me and bobby mcgee",1971,0.60056202972,"0.371731591793",2.188,"11",-11.269,1,0.483,11,1
"34",34,0.579,"118.295",1,0,"lady marmalade",2001,0.54003774898,"0.360053306539",0.15,"2",-8.674,0,0.696,24,1
"35",35,0.72,"111.044",1,0,"sweet inspiration",1968,0.695097638667,"0.520184923642",0.067,"9",-6.085,1,0.579,84,0
"36",36,0.542,"130.029",4,0.61,"everyday",1994,0.563196231958,"0.332562517336",4.226,"7",-8.289,1,0.417,86,0
"37",37,0.576,"198.507",4,1,"close your eyes",1967,0.658770491448,"0.359953167865",0,"5",-5.391,1,0.506,71,0
"39",39,0.799,"157.395",4,0.228,"girlfriend",2007,0.21091583791,"0.404366765502",0,"9",-5.606,0,0.545,12,1
"40",40,0.475,"107.995",4,0,"rain",1993,0.573218603841,"0.326582419635",2.345,"3",-5.169,1,0.656,67,0
"41",41,0.764,"114.664",4,0.259,"sometimes when we touch",1978,0.451670275673,"0.422926647679",0.229,"4",-9.122,1,0.515,33,1
"42",42,0.528,"125.873",4,0.848,"feels so good",1978,0.579049650783,"0.351847754656",0.061,"11",-6.756,0,0.475,21,1
"43",43,0.559,"92.501",4,0.176,"white horse",2009,0.834496478319,"0.880879609308",0.34,"5",-8.92,1,0.585,76,0
"44",44,0.673,"185.109",4,0.299,"girlfriend",2007,0.486314433595,"0.297868366698",0.183,"2",-4.697,1,0.635,12,1
"45",45,0.052,"131.634",4,0,"yummy yummy yummy",1968,0.574117951021,"0.391242893335",0.247,"1",-13.517,1,0.416,38,1
"47",47,0.605,"172.485",4,0.502,"get money",1996,0.444184730365,"0.326555905112",0.415,"11",-3.889,1,0.265,89,0
"48",48,0.168,"132.515",1,0,"the logical song",1979,0.511024640992,"0.388625335345",0,"11",-7.494,0,0.34,27,1
"49",49,0.524,"120.934",4,0.775,"how long",1975,0.538712195328,"0.42594804717",0.096,"5",-6.688,0,0.39,57,0
"50",50,0.367,"139.778",4,0.701,"gone",2002,0.484311162487,"0.351841895697",0.566,"2",-4.866,1,0.452,75,0
"51",51,1,"167.969",1,0.023,"lullaby",1999,0.571139223414,"0.398650868751",0.224,"10",-21.411,1,1,46,1
"52",52,0.018,"143.034",4,1,"renegade",1979,0.651981428735,"0.441646964055",0,"5",-2.82,1,0.404,67,0
"53",53,0.674,"96.992",4,0.938,"my life",2008,0.565886456225,"0.370959984316",0,"11",-5.442,0,0.526,88,0
"54",54,0.557,"169.943",1,0,"here we are",1990,0.565452291658,"0.35241012681",0.485,"7",-6.986,1,0.759,74,0
"55",55,0.499,"244.419",3,0.744,"you got it all",1987,0.61768335854,"0.489293662823",2.159,"0",-5.391,1,0.419,43,1
"56",56,0.627,"114.954",1,0,"new sensation",1988,0.818319359139,"0.667294595643",0,"4",-14.309,1,0.355,65,0
"57",57,0.881,"109.932",4,0.827,"slip away",1968,0.579232704274,"0.36653863734",0.46,"7",-14.641,1,0.923,44,1
"58",58,0.814,"63.973",4,1,"the rose",1980,0.685244285268,"0.508814088626",0.136,"0",-14.212,1,0.774,10,1
"59",59,0.473,"90.73",4,0.945,"homeward bound",1966,0.511024640992,"0.388625335345",0.316,"10",-13.085,1,0.554,56,0
"60",60,0.795,"151.969",4,0.574,"rain",1993,0.348148749594,"0.0",0,"10",-5.787,1,0.722,67,0
"62",62,0.167,"93.875",4,0.846,"lullaby",1999,0.847538545998,"0.592380724477",0.99,"9",-4.476,1,0.598,46,1
"63",63,0.23,"138.882",4,0,"the way we were",1974,0.529362423299,"0.434029362315",0.424,"7",-8.494,1,0.405,1,1
"64",64,0.718,"120.42",1,0,"one hell of a woman",1974,0.509492761542,"0.330251663716",3.982,"9",-15.146,1,0.512,10,1
"65",65,0.039,"121.986",4,0.964,"one of these nights",1975,0.534834289245,"0.355589670096",3.64,"10",-5.76,1,0.266,9,1
"66",66,0.727,"121.155",1,0.228,"another night",1995,0.674928149121,"0.487793711832",0.377,"5",-9.839,0,0.792,6,1
"67",67,0.223,"109.896",4,0.914,"walk like an egyptian",1987,0.687549908847,"0.627258614097",0,"4",-9.448,1,0.384,1,1
"69",69,0.249,"121.989",1,0,"runaway",1996,0.597902445996,"0.403954933809",0,"3",-3.376,1,0.381,84,0
"70",70,0.306,"86.116",1,1,"over and over",2005,0.561834980395,"0.426037385579",0.189,"11",-11.011,0,0.373,48,1
"71",71,0.117,"115.282",3,1,"julie do ya love me",1970,0.453434817276,"0.316397614878",0.188,"6",-5.111,0,0.336,29,1
"72",72,0.19,"100.82",4,0.697,"killing me softly with his song",1973,0.473486936345,"0.219369574912",0.537,"4",-8.933,0,0.36,3,1
"73",73,0.418,"214.441",7,0.718,"buffalo stance",1989,0.63929841463,"0.41942518709",0.223,"1",-10.463,1,0.438,36,1
"74",74,0.098,"86.36",3,0.759,"money",1973,0.573446098406,"0.492011916969",0.345,"7",-7.185,1,0.375,92,0
"75",75,0.266,"130.426",4,0.276,"dance with me",2001,0.41571213071,"0.239513667172",0,"7",-8.388,1,0.56,93,0
"76",76,0,"143.943",3,0.994,"how long",1975,0.472728797768,"0.0",0,"9",-5.396,0,0.143,57,0
"77",77,0.268,"91.832",4,0.963,"just the two of us",1981,0.532493009912,"0.387286552443",0,"4",-9.794,1,0.546,18,1
"79",79,0.712,"85.322",1,0.169,"forever",2010,0.892688611404,"0.830356766357",0.2,"11",-2.991,1,0.463,71,0
"80",80,0.336,"128.286",1,0,"if you go",1994,0.408096771475,"0.325176800221",0.363,"0",-11.051,1,0.456,23,1
"81",81,0.457,"84.038",1,0.899,"intuition",2003,0.535827807518,"0.372646461459",0,"0",-9.559,1,0.378,73,0
"84",84,0.705,"129.87",1,0,"in the summertime",1970,0.681531150733,"0.408896033075",0.16,"2",-12.22,1,0.898,53,0
"85",85,0.554,"141.988",4,0,"on and on",1977,0.337895493671,"0.314811103616",3.64,"11",-7.165,0,0.618,30,1
"86",86,0.61,"97.396",4,0.814,"playboy",1968,0.621414328404,"0.443930192726",2.914,"1",-12.256,1,0.64,41,1
"87",87,0.312,"142.541",4,0,"bad girls",1979,0.510462998092,"0.47467898812",3.437,"2",-11.663,1,0.413,2,1
"89",89,0.089,"132.654",1,0,"incense and peppermints",1967,0.628356527199,"0.40671348005",0.102,"2",-7.245,1,0.591,23,1
"90",90,0.5,"136.966",4,0,"i do",2002,0.594412031693,"0.398252409395",0.38,"0",-10.397,1,0.502,100,0
"91",91,0.54,"122.013",4,1,"closer",2008,0.520295514857,"0.383648651043",0,"7",-7.991,0,0.575,20,1
"92",92,0.394,"134.587",4,0.547,"upside down",1980,0.617875441031,"0.380009863678",0,"9",-5.942,1,0.329,18,1
"93",93,0.598,"102.984",4,0.895,"rock steady",1987,0.696816891791,"0.48210001892",0,"7",-8.064,1,0.624,73,0
"94",94,0.702,"57.463",1,0,"working in the coal mine",1966,0.509958580832,"0.38927215882",0.247,"10",-6.038,1,0.451,76,0
"95",95,0.791,"139.88",4,0.714,"bad day",2006,0.456660510382,"0.383666424639",0.432,"2",-6.46,1,0.591,1,1
"96",96,0.468,"147.003",4,0.251,"you and i",1983,0.496970465417,"0.360248517753",0.833,"7",-8.335,0,0.367,12,1
"97",97,0.675,"113.103",4,1,"ready or not",1990,0.664761618075,"0.412704317225",0.328,"2",-7.11,1,0.686,54,0
"98",98,0.028,"130.193",4,0.569,"all for you",2001,0.630379064139,"0.42467002771",0,"8",-8.876,1,0,3,1
"99",99,0.309,"131.999",5,1,"3",2010,0.947327506635,"0.607257279581",0,"1",-6.278,1,0.409,69,0
"100",100,0.426,"127.07",1,0,"sweet lady",1999,0.57971458393,"0.424507885956",0,"3",-4.909,1,0.489,43,1
"101",101,0.499,"101.885",1,0,"i want you",2003,0.813107692563,"0.598473622994",0.387,"3",-8.318,0,0.575,95,0
"102",102,0.456,"90.689",3,0.615,"delilah",1968,0.569860089237,"0.41466736806",0,"5",-12.936,1,0.531,66,0
"103",103,0.639,"171.055",4,0.709,"paint it black",1966,0.745741568475,"0.558619833315",0,"4",-6.454,0,0.58,21,1
"104",104,0.675,"105.863",4,1,"walk away from love",1976,0.467054184666,"0.37455792648",0.189,"10",-10.646,1,0.563,88,0
"105",105,0.733,"158.211",3,1,"now and forever",1994,0.671992294082,"0.502417219797",0.264,"10",-5.798,1,0.694,25,1
"106",106,0.442,"126.146",4,0.369,"sundown",1974,0.506741123962,"0.451987873986",0.276,"2",-6.613,1,0.567,27,1
"107",107,0.689,"116.293",4,1,"i feel for you",1985,0.693887091061,"0.443512831682",0.462,"11",-7.642,1,0.608,5,1
"108",108,0.615,"127.96",4,0.809,"slide",1999,0.488573400739,"0.368816272596",0.071,"2",-5.834,0,0.667,13,1
"109",109,0.835,"125.036",1,0.336,"survivor",2001,0.672022640167,"0.421166235569",0,"2",-14.178,1,0.681,23,1
"110",110,0.34,"108.046",4,0.859,"freedom",1985,0.319210939968,"0.225159585962",0,"7",-14.988,1,0.672,76,0
"111",111,0.711,"240.23",4,0.672,"say it",1998,0.642286289891,"0.467899593335",0.2,"5",-14.564,1,0.488,45,1
"112",112,0.797,"166.997",4,0.666,"give it to me",2007,0.674746067634,"0.457682856731",0.454,"5",-21.181,1,0.567,21,1
"113",113,0.641,"151.466",3,0.864,"get up",2006,0.653602614033,"0.412100795527",0.113,"7",-6.828,1,0.589,80,0
"114",114,0.688,"137.101",4,0.447,"come with me",1998,0.273703748173,"0.236570395574",0,"2",-6.13,1,0.726,47,1
"115",115,0.551,"85.731",1,0.584,"freedom",1985,0.707204743933,"0.519636855546",0.148,"5",-6.304,0,0.592,76,0
"116",116,0.564,"123.123",4,0,"breakaway",2005,0.628499286386,"0.463771782304",0.171,"2",-5.419,1,0.511,27,1
"117",117,0.695,"133.312",1,0,"out of the blue",1988,0.620392055893,"0.390660522723",0.347,"0",-11.693,1,0.536,54,0
"118",118,0.186,"186.993",1,0,"take on me",1985,0.598149429697,"0.451374826258",0,"6",-6.923,0,0.459,10,1
"119",119,0.668,"111.555",4,0.899,"hold me",1982,0.277900040196,"0.116156134208",0.357,"2",-9.6,1,0.778,31,1
"120",120,0.753,"98.082",3,0.37,"dont look back",1978,0.534479846862,"0.359907549357",5.985,"9",-14.774,1,0.54,93,0
"121",121,0.539,"123.976",4,0.5,"you",2007,0.469712765542,"0.373658041307",0,"4",-6.485,0,0.555,40,1
"122",122,0.276,"186.285",4,0.978,"lonely",2005,0.687483205157,"0.514206403185",0.189,"9",-5.863,0,0.346,44,1
"123",123,0.044,"71.597",4,0.444,"dedicated to the one i love",1967,0.662298709656,"0.379137555625",0.177,"10",-11.539,1,0.325,62,0
"124",124,0.004,"127.365",1,0,"miami",1999,0.311079253312,"0.161273402227",0.351,"3",-7.848,1,0.31,53,0
"125",125,0.136,"156.069",4,0.62,"mirage",1967,0.474753942731,"0.346602947922",0.292,"11",-13.525,0,0.278,96,0
"126",126,0.356,"126.798",4,0.007,"time after time",1998,0.558388524503,"0.456568765938",0.3,"0",-26.579,1,0.499,64,0
"127",127,0.867,"115.949",5,0.893,"vogue",1990,0.162311436438,"0.0",1.403,"1",-8.804,1,0.727,5,1
"128",128,0.001,"146.921",3,0.963,"money maker",2007,0.627267324204,"0.377053074284",0.252,"7",-8.084,1,0.136,92,0
"129",129,0.502,"118.008",4,1,"take me home",1986,0.587666134454,"0.379317012405",0,"1",-8.464,1,0.508,88,0
"130",130,0.252,"120.07",4,0.033,"superstar",2008,0.628290856614,"0.364163810272",0.288,"10",-4.456,0,0.261,63,0
"131",131,0.675,"164.374",4,0.466,"hold on",1995,0.708615634815,"0.44468262615",0.926,"7",-14.269,0,0.331,52,0
"132",132,0.036,"227.555",4,0.184,"a very special love song",1974,0.375978176195,"0.290657620909",2.125,"0",-15.858,1,0.11,89,0
"133",133,0.305,"135.064",4,0,"get back",2005,0.536808944761,"0.452972017488",0.461,"2",-10.432,1,0.321,77,0
"134",134,1,"89.584",1,0.395,"do your thing",1969,0.574652074374,"0.424848135557",0.247,"2",-9.909,1,0.898,47,1
"135",135,0,"130.031",4,0,"missing you",2001,0.558920057761,"0.385231543116",0,"11",-13.084,0,0.014,49,1
"136",136,0.625,"80.455",4,0.004,"piece of my heart",1991,0.803810767747,"0.559925868569",0,"4",-10.561,1,0.548,84,0
"137",137,0.207,"159.757",5,0.887,"drive",2001,0.733682183965,"0.560915884676",0.339,"2",-5.538,1,0.379,21,1
"138",138,0,"99.871",1,0.48,"wonderful world",1965,0.665403649883,"0.49189993652",0.119,"9",-15.868,1,0.116,67,0
"139",139,0.662,"93.001",4,0.601,"no one",2008,0.419312641399,"0.319651458692",0,"4",-8.723,1,0.431,3,1
"140",140,0.82,"121.013",4,0.334,"last night",2007,0.511030189724,"0.354164535183",0.142,"0",-11.271,1,0.67,42,1
"141",141,0.283,"177.641",4,0.73,"crazy",2006,0.655217220059,"0.448852476062",0,"11",-10.355,1,0.207,7,1
"142",142,0.89,"85.652",1,0.344,"i believe",1995,0.581793765845,"0.401997543364",2.339,"4",-12.054,1,0.527,27,1
"143",143,0.708,"159.81",4,0.766,"in the ghetto",1969,0.0261197577461,"0.0",0,"10",-10.415,1,0.695,35,1
"144",144,0.027,"142.231",4,0.691,"war",1970,0.624683546423,"0.472539829304",0,"11",-4.836,0,0.301,5,1
"145",145,0.071,"140.051",1,0,"always",1995,0.46743618263,"0.184768709191",1.065,"1",-4.137,1,0.287,17,1
"146",146,0.827,"117.043",3,0.941,"angel",2003,0.77708242633,"0.553736196336",0.138,"11",-13.284,1,0.884,69,0
"147",147,0.304,"114.031",4,1,"killing me softly with his song",1973,0.410372592033,"0.0",0,"10",-10.24,0,0.459,3,1
"148",148,0.618,"140.483",5,0.848,"broadway",2000,0.451802813273,"0.3997759615",0,"0",-12.664,1,0.65,84,0
"149",149,0.655,"115.38",3,0.689,"evil ways",1970,0.534464352229,"0.368689372548",0.518,"5",-23.893,1,0.646,69,0
"150",150,0.614,"84.032",1,0.512,"missing",1996,0.434900974766,"0.372547570243",0,"9",-7.329,0,0.542,12,1
"151",151,0.192,"132.33",1,0.064,"lucy in the sky with diamonds",1975,0.620305452424,"0.46349777316",2.392,"2",-11.115,1,0.45,34,1
"152",152,0.785,"106.563",4,0.978,"free ride",1973,0.740957722728,"0.473839751101",0.165,"8",-14.135,1,0.529,96,0
"154",154,0.703,"111.949",4,0.798,"walk a mile in my shoes",1970,0.615823132115,"0.346991653975",0,"4",-9.063,1,0.723,97,0
"155",155,0.511,"139.992",4,0,"fantasy",1996,0.325860092006,"0.272080970894",0,"6",-8.895,0,0.57,49,1
"156",156,0.71,"209.144",4,0,"bitch",1997,0.488228544975,"0.310652112294",0.078,"2",-3.697,1,0.639,15,1
"157",157,0.075,"120.122",4,0.517,"how low",2010,0.733498906538,"0.491943390323",0.245,"10",-15.413,1,0.309,36,1
"158",158,0.177,"124.013",4,0.735,"wait for you",2007,0.821300035132,"0.500822446773",9.009,"2",-4.557,1,0.329,41,1
